Country,Continent,Year,TotalPopulation,CO2_Emission,TotalEnergy_Consumption
United States,North America,2000,282162411,5817.31,2269
Argentina,South America,2000,36870787,139.48,62
Brazil,South America,2000,174790340,298.47,188
Chile,South America,2000,15342353,52.75,25
Colombia,South America,2000,39629965,55.18,26
Mexico,North America,2000,98899845,364.44,151
Venezuela,South America,2000,24192446,116.91,51
China,Asia,2000,1262645000,3145.41,1130
India,Asia,2000,1056575549,910.22,441
Indonesia,Asia,2000,211513823,272.58,156
Japan,Asia,2000,126843000,1122.71,520
Malaysia,Asia,2000,23194257,117.98,48
South Korea,Asia,2000,22929075,446.53,190
Taiwan,Asia,2000,21966527,218.73,85
Thailand,Asia,2000,62952642,155.44,72
Australia,Oceania,2000,19153000,335.84,108
New Zealand,Oceania,2000,3857700,30.16,17
Algeria,Africa,2000,31042235,64.22,27
Egypt,Africa,2000,68831561,101.7,40
Nigeria,Africa,2000,122283850,43.99,87
South Africa,Africa,2000,44967713,296.11,109
Iran,Asia,2000,65623405,320.03,123
Kuwait,Asia,2000,2045123,47.08,19
Saudi Arabia,Asia,2000,20663843,244.15,98
United Arab Emirates,Asia,2000,3134062,80.31,32
Belgium,Europe,2001,10286570,116.73,58
Czech Republic,Europe,2001,10216605,121.86,42
France,Europe,2001,61357430,390.1,260
Germany,Europe,2001,82349925,849.18,347
Italy,Europe,2001,56974100,429.22,172
Netherlands,Europe,2001,16046180,184.26,77
Poland,Europe,2001,38248076,295.48,90
Portugal,Europe,2001,10362722,59.25,25
Romania,Europe,2001,22131970,93.62,37
Spain,Europe,2001,40850412,286.73,125
Sweden,Europe,2001,8895960,51.9,50
United Kingdom,Europe,2001,59119673,544.06,224
Norway,Europe,2001,4513751,34.36,27
Turkey,Asia,2001,64192243,183.57,70
Kazakhstan,Asia,2001,14858335,113.1,35
Russia,Asia,2001,145976482,1527.89,626
Ukraine,Europe,2001,48662400,302.42,134
Uzbekistan,Asia,2001,24964450,117.4,51
Canada,North America,2001,31020902,523.42,250
United States,North America,2001,284968955,5796.02,2226
Argentina,South America,2001,37275652,129.66,59
Brazil,South America,2001,177196054,304.83,191
Chile,South America,2001,15516113,50.52,25
